pin,gender,marital_status,have_children,mvs_1,mvs_2,mvs_3,mvs_4,mvs_5,mvs_6,mvs_7,mvs_8,mvs_9,swls2019_1,swls2019_2,swls2019_3,swls2019_4,swls2019_5,swls2021_1,swls2021_2,swls2021_3,swls2021_4,swls2021_5
275,1,1,1,4,2,2,3,2,4,3,4,2,5,5,4,4,5,4,5,3,3,4
276,1,2,1,5,5,3,5,3,5,4,5,1,4,4,5,5,5,3,3,4,4,4
277,1,1,1,2,2,3,4,2,3,4,2,3,5,5,6,5,5,4,5,5,4,4
278,0,3,1,2,1,3,4,2,3,3,2,3,5,4,4,5,5,5,3,3,4,5
279,0,2,0,3,3,4,4,3,4,5,3,2,4,4,3,4,3,4,3,3,4,3
280,1,3,1,4,3,3,2,4,3,3,4,2,4,4,5,5,4,3,3,4,4,3
281,0,1,1,4,3,3,2,4,3,2,4,2,6,5,6,6,5,6,5,5,5,5
282,0,1,1,5,4,4,4,5,4,4,5,1,4,3,3,3,4,4,3,2,2,4
283,1,3,1,3,3,3,4,3,3,3,3,3,5,5,5,5,4,4,4,4,4,3
284,0,2,0,3,1,3,4,3,3,3,3,3,3,4,4,3,3,3,3,4,3,3
285,0,3,0,4,4,4,4,4,4,4,4,2,4,4,3,4,3,4,3,3,4,3
286,1,3,0,4,4,4,2,4,4,4,4,2,3,4,4,3,3,2,3,4,3,3
287,0,1,1,4,3,4,2,4,4,1,4,2,4,4,4,4,4,4,4,3,3,4
288,1,1,1,5,5,5,5,5,5,5,5,1,5,4,4,4,4,4,4,3,3,3
289,0,2,0,3,4,4,2,3,4,4,3,2,4,4,4,4,5,4,3,4,4,5
290,1,2,0,3,2,4,2,3,4,1,3,2,4,5,4,4,4,3,4,4,4,4
291,1,1,1,4,5,5,4,4,5,5,4,1,5,5,4,5,4,4,5,3,4,3
292,0,2,1,4,4,4,2,4,4,4,4,2,4,3,3,4,4,4,2,2,3,4
293,1,2,0,4,3,4,2,4,4,3,4,2,5,5,5,5,4,4,4,5,5,4
294,1,3,0,5,5,5,5,5,5,5,5,1,4,4,3,4,4,3,3,3,4,4
295,0,3,1,3,3,3,3,3,3,3,2,3,3,4,4,3,4,3,3,3,2,4
296,1,1,1,3,3,3,3,3,3,2,2,3,4,4,4,4,4,3,4,3,3,3
297,0,1,0,4,4,4,3,4,4,4,3,2,5,4,5,4,4,5,4,5,4,4
298,0,2,0,4,3,3,3,3,4,3,4,2,3,4,3,4,3,3,3,3,4,3
299,1,1,1,4,3,3,3,3,4,2,4,2,5,4,5,4,4,4,4,4,3,3
300,0,3,0,5,4,4,3,4,5,4,5,1,4,4,5,4,5,4,3,5,4,5
301,1,3,1,2,3,3,2,3,2,2,4,3,5,5,7,6,5,4,4,5,5,4
302,1,1,1,2,2,3,2,3,2,3,4,3,4,5,5,4,5,3,5,4,3,4
303,0,1,1,3,4,4,5,4,3,3,5,2,5,4,5,5,4,5,4,4,4,4
304,1,2,0,2,3,3,4,3,4,3,3,3,4,4,5,5,5,3,3,5,5,5
305,0,2,1,2,3,3,4,3,4,3,3,3,4,4,5,4,5,4,3,4,3,5
306,1,2,1,3,4,4,3,4,5,4,4,2,5,6,6,5,5,4,5,5,4,4
307,1,3,0,2,3,3,4,2,2,3,3,4,4,5,5,4,4,3,4,5,4,4
308,0,2,1,2,2,3,4,2,2,1,3,4,4,4,5,4,5,4,3,4,3,5
309,1,2,1,3,4,4,4,3,3,4,4,3,4,3,4,3,4,3,2,3,2,3
310,1,2,1,2,1,2,2,3,3,4,2,4,6,5,5,6,5,5,4,4,5,4
311,0,1,1,2,3,2,2,3,3,1,2,4,4,5,4,5,5,4,5,3,4,5
312,0,1,1,3,2,3,4,4,4,5,3,3,4,4,4,3,4,4,4,3,2,4
313,1,3,0,3,3,4,3,4,2,1,3,3,4,5,4,5,4,3,4,4,5,4
314,1,2,1,3,2,4,3,4,2,3,3,3,5,5,6,6,5,4,4,5,5,4
315,0,3,1,4,4,5,4,5,3,2,4,2,4,4,4,4,5,4,3,3,3,5
316,0,3,0,3,3,3,4,3,4,3,4,3,4,3,4,3,4,4,2,4,3,4
317,0,2,0,3,2,3,4,3,4,3,4,3,3,4,3,4,4,3,3,3,4,4
318,1,2,1,4,4,4,5,4,5,4,5,2,2,1,3,3,2,2,2,2,2,2
319,0,2,0,4,3,4,4,4,4,3,3,3,4,3,4,3,4,4,2,4,3,4
320,1,3,0,4,2,4,4,4,4,3,3,3,4,4,4,4,4,3,3,4,4,4
321,1,1,1,5,4,5,4,5,5,4,4,2,5,5,6,6,6,4,5,5,5,5
322,0,2,0,3,2,2,2,4,4,4,4,3,3,3,4,4,3,3,2,4,4,3
323,0,3,1,3,2,2,2,4,4,1,4,3,5,5,5,4,5,5,4,4,3,5
324,0,2,1,4,3,3,5,5,5,5,5,2,4,4,5,5,4,4,3,4,4,4
325,1,1,0,3,1,2,3,3,4,4,4,3,5,5,5,5,5,4,5,5,5,5
326,1,3,0,3,3,2,3,3,4,1,4,3,5,5,5,5,4,4,4,5,5,4
327,1,2,1,4,2,3,4,4,5,5,5,2,5,5,5,6,6,4,4,4,5,5
328,1,2,1,2,4,4,2,4,2,2,3,3,7,5,5,5,5,5,4,4,4,4
329,0,3,1,2,2,4,2,4,2,1,3,3,3,3,4,3,3,3,2,3,2,3
330,1,2,1,3,5,5,4,5,3,3,4,2,5,4,5,5,4,4,3,4,4,3
331,0,2,1,3,2,2,2,2,3,2,3,3,4,4,4,4,3,4,3,3,3,3
332,1,1,0,3,2,2,2,2,3,1,3,3,4,4,4,5,5,3,4,4,5,5
333,0,1,1,4,3,3,4,3,4,3,4,2,4,5,4,5,4,4,5,3,4,4
334,1,3,0,3,3,4,4,3,4,3,3,2,4,4,3,4,3,3,3,3,4,3
335,1,1,1,3,1,4,4,3,4,3,3,2,3,3,4,4,4,2,3,3,3,3
336,1,1,1,4,4,5,5,4,5,4,4,1,6,6,5,5,6,5,6,4,4,5
337,0,3,0,2,2,4,3,3,4,4,4,2,6,5,6,5,5,6,4,6,5,5
338,1,2,1,2,1,4,3,3,4,2,4,2,6,5,6,5,5,5,4,5,4,4
339,1,3,0,3,3,5,5,4,5,5,5,1,5,5,5,5,4,4,4,5,5,4
340,1,3,1,4,2,4,2,4,4,3,4,2,4,5,5,5,5,3,4,4,4,4
341,1,3,0,4,2,4,2,4,4,3,4,2,4,4,4,3,4,3,3,4,3,4
342,0,3,1,5,3,5,3,5,5,4,5,1,5,4,4,5,5,5,3,3,4,5
343,1,1,0,4,2,4,3,2,4,4,2,2,3,4,3,3,4,2,4,3,3,4
